,Window Size,Trend
181,1820,2.12E-05
182,1830,0.000128555
183,1840,0.000211228
184,1850,0.000266824
185,1860,0.000265401
186,1870,0.000253767
187,1880,0.000205374
188,1890,0.00023366
189,1900,0.000245997
190,1910,-3.58E-05
191,1920,0.000156691
192,1930,0.000336852
193,1940,0.000506662
194,1950,0.000649278
195,1960,0.000607767
196,1970,0.00070376
197,1980,0.000801315
198,1990,0.000673575
199,2000,0.000583595
200,2010,0.000625667
201,2020,0.000676669
202,2030,0.000736211
203,2040,0.000793914
204,2050,0.00084416
205,2060,0.000912525
206,2070,0.000989958
207,2080,0.001067793
208,2090,0.001144641
209,2100,0.0012178
210,2110,0.001288735
211,2120,0.001345523
212,2130,0.001378159
213,2140,0.001399307
214,2150,0.000926133
215,2160,0.000907658
216,2170,0.000936373
217,2180,0.000979262
218,2190,0.0010358
219,2200,0.001085755
220,2210,0.001139116
221,2220,0.00119091
222,2230,0.001248395
223,2240,0.001308958
224,2250,0.001379566
225,2260,0.001448154
226,2270,0.001514777
227,2280,0.001579489
228,2290,0.001638921
229,2300,0.001693234
230,2310,0.001740368
231,2320,0.001782762
232,2330,0.001809582
233,2340,0.001831158
234,2350,0.001850927
235,2360,0.001883923
236,2370,0.001923353
237,2380,0.001950043
238,2390,0.002003006
239,2400,0.002057559
240,2410,0.002114661
241,2420,0.002170143
242,2430,0.002224047
243,2440,0.002275408
244,2450,0.002319315
245,2460,0.002355017
246,2470,0.002383757
247,2480,0.002337468
248,2490,0.001748817
249,2500,0.001826026
250,2510,0.001200782
251,2520,0.000552399
252,2530,-0.000280043
253,2540,-0.000600292
254,2550,-0.000562659
255,2560,-0.000979006
256,2570,-0.001762151
257,2580,-0.001801223
258,2590,-0.001724628
259,2600,-0.001634607
260,2610,-0.001535967
261,2620,-0.00143596
262,2630,-0.001345883
263,2640,-0.001261144
264,2650,-0.001182459
265,2660,-0.00110712
266,2670,-0.00103673
267,2680,-0.000969478
268,2690,-0.000902799
269,2700,-0.000830967
270,2710,-0.000825754
271,2720,-0.000780182
272,2730,-0.000729939
273,2740,-0.000678334
274,2750,-0.000622261
275,2760,-0.00056029
276,2770,-0.000501162
277,2780,-0.000482681
278,2790,-0.000430803
279,2800,-0.000379231
280,2810,-0.000322666
281,2820,-0.000271037
282,2830,-0.000244401
283,2840,-0.000443577
284,2850,-0.000530337
285,2860,-0.000491029
286,2870,-0.000455432
287,2880,-0.000601179
288,2890,-0.001223806
289,2900,-0.001247713
290,2910,-0.001197592
291,2920,-0.001169456
292,2930,-0.00113136
293,2940,-0.001087734
294,2950,-0.00103942
295,2960,-0.000983129
296,2970,-0.000934682
297,2980,-0.000883105
298,2990,-0.000831829
299,3000,-0.000789498
300,3010,-0.000757189
301,3020,-0.00074645
302,3030,-0.000739775
303,3040,-0.000747404
304,3050,-0.000725904
305,3060,-0.00071056
306,3070,-0.000809266
307,3080,-0.000724846
308,3090,-0.000644516
309,3100,-0.000567565
310,3110,-0.000500702
311,3120,-0.00050622
312,3130,-0.000457407
313,3140,-0.000407679
314,3150,-0.00044764
315,3160,-0.000473331
316,3170,-0.000446276
317,3180,-0.000415557
318,3190,-0.000381276
319,3200,-0.000347612
320,3210,-0.000316872
321,3220,-0.00027861
322,3230,-0.000236449
323,3240,-0.000193913
324,3250,-0.000151579
325,3260,-0.000110575
326,3270,-7.03E-05
327,3280,-3.58E-05
328,3290,-1.13E-05
329,3300,8.38E-06
330,3310,-0.000180683
331,3320,-0.000179249
332,3330,-0.000157908
333,3340,-0.000130506
334,3350,-9.72E-05
335,3360,-6.66E-05
336,3370,-3.44E-05
337,3380,-2.79E-06
338,3390,3.14E-05
339,3400,6.70E-05
340,3410,0.00010721
341,3420,0.00014667
342,3430,0.000185436
343,3440,0.000223521
344,3450,0.000259428
345,3460,0.000293201
346,3470,0.000323896
347,3480,0.000352565
348,3490,0.000374343
349,3500,0.000393779
350,3510,0.000412385
351,3520,0.000436927
352,3530,0.000464399
353,3540,0.00048615
354,3550,0.000519839
355,3560,0.000554355
356,3570,0.000590143
357,3580,0.000625308
358,3590,0.000659859
359,3600,0.000693345
360,3610,0.000723488
361,3620,0.000749906
362,3630,0.000773132
363,3640,0.000761537
364,3650,0.000496901
365,3660,0.000541169
366,3670,0.000256703
367,3680,-4.10E-05
368,3690,-0.000427667
369,3700,-0.000575709
370,3710,-0.000555517
371,3720,-0.00075037
372,3730,-0.001121161
373,3740,-0.001140208
374,3750,-0.001104119
375,3760,-0.001061361
376,3770,-0.001014183
377,3780,-0.000966035
378,3790,-0.000922359
379,3800,-0.000880985
380,3810,-0.000842285
381,3820,-0.000804973
382,3830,-0.000769844
383,3840,-0.00073604
384,3850,-0.000702324
385,3860,-0.000665891
386,3870,-0.000661957
387,3880,-0.000638178
388,3890,-0.000611975
389,3900,-0.000584965
390,3910,-0.000555606
391,3920,-0.000523168
392,3930,-0.000491976
393,3940,-0.000480888
394,3950,-0.000453085
395,3960,-0.000425301
396,3970,-0.000394882
397,3980,-0.000366795
398,3990,-0.000351158
399,4000,-0.000449428
400,4010,-0.0004915
401,4020,-0.000481463
402,4030,-0.000462704
403,4040,-0.000445668
404,4050,-0.000412463
405,4060,-0.000379368
406,4070,-0.000343855
407,4080,-0.000308851
408,4090,-0.00028258
409,4100,-0.000263086
410,4110,-0.000245641
411,4120,-0.000229141
412,4130,-0.000210064
413,4140,-0.000189857
414,4150,-0.000167155
415,4160,-0.000205289
416,4170,-0.000182985
417,4180,-0.000156885
418,4190,-0.000127742
419,4200,-9.77E-05
420,4210,-6.80E-05
421,4220,-3.81E-05
422,4230,-7.56E-06
423,4240,2.25E-05
424,4250,5.22E-05
425,4260,8.14E-05
426,4270,0.000110222
427,4280,0.000118356
428,4290,0.000124439
429,4300,8.61E-05
430,4310,7.89E-05
431,4320,-7.17E-05
432,4330,-0.000192552
433,4340,-0.000184073
434,4350,-0.000167484
435,4360,-0.000147024
436,4370,-0.000124644
437,4380,-0.00010163
438,4390,-8.08E-05
439,4400,-5.96E-05
440,4410,-4.06E-05
441,4420,-2.21E-05
442,4430,-3.54E-06
443,4440,1.47E-05
444,4450,3.28E-05
445,4460,5.03E-05
446,4470,6.28E-05
447,4480,7.15E-05
448,4490,8.01E-05
449,4500,9.09E-05
450,4510,9.99E-05
451,4520,0.000111936
452,4530,0.000125277
453,4540,9.36E-05
454,4550,0.000105852
455,4560,0.000116754
456,4570,5.57E-05
457,4580,-0.000195883
458,4590,-0.00021007
459,4600,-0.000194636
460,4610,-0.000187851
461,4620,-0.00017694
462,4630,-0.000163651
463,4640,-0.000148306
464,4650,-0.000129552
465,4660,-0.000113792
466,4670,-9.66E-05
467,4680,-7.93E-05
468,4690,-6.55E-05
469,4700,-5.57E-05
470,4710,-5.47E-05
471,4720,-5.53E-05
472,4730,-6.17E-05
473,4740,-5.61E-05
474,4750,-5.29E-05
475,4760,-9.71E-05
476,4770,-6.52E-05
477,4780,-3.48E-05
478,4790,-5.48E-06
479,4800,1.98E-05
480,4810,1.48E-05
481,4820,3.28E-05
482,4830,5.13E-05
483,4840,3.19E-05
484,4850,1.85E-05
485,4860,2.75E-05
486,4870,3.82E-05
487,4880,5.05E-05
488,4890,6.27E-05
489,4900,7.37E-05
490,4910,8.80E-05
491,4920,0.000104142
492,4930,0.000120581
493,4940,0.000137064
494,4950,0.000153099
495,4960,0.000168938
496,4970,0.000182398
497,4980,0.000191587
498,4990,0.000198739
499,5000,0.000114439
500,5010,0.000113326
501,5020,0.000121004
502,5030,0.000131428
503,5040,0.000144554
504,5050,0.000156582
505,5060,0.000169399
506,5070,0.000182061
507,5080,0.000195963
508,5090,0.000210621
509,5100,0.000227405
510,5110,0.000243987
511,5120,0.00026037
512,5130,0.000276556
513,5140,0.000291868
514,5150,0.000306317
515,5160,0.000319468
516,5170,0.000331787
517,5180,0.000341056
518,5190,0.000349322
519,5200,0.000357265
520,5210,0.000367975
521,5220,0.000380094
522,5230,0.000389663
523,5240,0.00040478
524,5250,0.000420367
525,5260,0.000436634
526,5270,0.000452706
527,5280,0.000468587
528,5290,0.000484064
529,5300,0.000498077
530,5310,0.000510434
531,5320,0.000521373
532,5330,0.00051613
533,5340,0.000392522
534,5350,0.000412975
535,5360,0.000279311
536,5370,0.000138695
537,5380,-4.45E-05
538,5390,-0.000116067
539,5400,-0.000108489
540,5410,-0.000202573
541,5420,-0.000380543
542,5430,-0.000392389
543,5440,-0.000378025
544,5450,-0.000360385
545,5460,-0.000340519
546,5470,-0.000320064
547,5480,-0.000301622
548,5490,-0.000284169
549,5500,-0.00026789
550,5510,-0.000252176
551,5520,-0.000237414
552,5530,-0.000223199
553,5540,-0.000208936
554,5550,-0.000193269
555,5560,-0.000193264
556,5570,-0.000183603
557,5580,-0.000172697
558,5590,-0.000161328
559,5600,-0.000148741
560,5610,-0.000134572
561,5620,-0.000120931
562,5630,-0.000117065
563,5640,-0.000104958
564,5650,-9.28E-05
565,5660,-7.93E-05
566,5670,-6.68E-05
567,5680,-6.04E-05
568,5690,-0.000110304
569,5700,-0.000132584
570,5710,-0.000129098
571,5720,-0.00012125
572,5730,-0.000114209
573,5740,-9.91E-05
574,5750,-8.39E-05
575,5760,-6.74E-05
576,5770,-5.12E-05
577,5780,-3.92E-05
578,5790,-3.05E-05
579,5800,-2.28E-05
580,5810,-1.56E-05
581,5820,-6.99E-06
582,5830,2.22E-06
583,5840,1.27E-05
584,5850,-7.49E-06
585,5860,2.84E-06
586,5870,1.52E-05
587,5880,2.91E-05
588,5890,4.36E-05
589,5900,5.79E-05
590,5910,7.24E-05
591,5920,8.73E-05
592,5930,0.000102012
593,5940,0.000116595
594,5950,0.000131029
595,5960,0.000145317
596,5970,0.00014903
597,5980,0.000151706
598,5990,0.000131493
599,6000,0.000127281
600,6010,4.89E-05
601,6020,-1.43E-05
602,6030,-1.08E-05
603,6040,-3.03E-06
604,6050,6.79E-06
605,6060,1.77E-05
606,6070,2.89E-05
607,6080,3.91E-05
608,6090,4.95E-05
609,6100,5.88E-05
610,6110,6.78E-05
611,6120,7.70E-05
612,6130,8.60E-05
613,6140,9.50E-05
614,6150,0.0001037
615,6160,0.000109796
