,Window Size,Trend
637,6380,0.000343181
638,6390,0.000340401
639,6400,0.000338374
640,6410,0.000334611
641,6420,0.000332186
642,6430,0.000328187
643,6440,0.000324796
644,6450,0.000322584
645,6460,0.000322829
646,6470,0.000319917
647,6480,0.000316029
648,6490,0.00030748
649,6500,0.000298012
650,6510,0.000287779
651,6520,0.000275945
652,6530,0.000269418
653,6540,0.000267423
654,6550,0.00026307
655,6560,0.000258058
656,6570,0.000253504
657,6580,0.000247603
658,6590,0.000241753
659,6600,0.000233752
660,6610,0.000224175
661,6620,0.000214955
662,6630,0.000205679
663,6640,0.000197163
664,6650,0.000189128
665,6660,0.000182513
666,6670,0.000178245
667,6680,0.000174011
668,6690,0.000170618
669,6700,0.000169119
670,6710,0.000166302
671,6720,0.000163772
672,6730,0.000160999
673,6740,0.000158379
674,6750,0.000155781
675,6760,0.000153204
676,6770,0.000150516
677,6780,0.000147069
678,6790,0.00014352
679,6800,0.00014
680,6810,0.000136768
681,6820,0.000132276
682,6830,0.000129746
683,6840,0.000128006
684,6850,0.00012513
685,6860,0.000122278
686,6870,0.000120591
687,6880,0.000119424
688,6890,0.000117633
689,6900,0.000115858
690,6910,0.000113845
691,6920,0.000111722
692,6930,0.000109368
693,6940,0.000106659
694,6950,0.000103475
695,6960,0.000100442
696,6970,9.74E-05
697,6980,9.53E-05
698,6990,9.38E-05
699,7000,9.28E-05
700,7010,9.27E-05
701,7020,9.31E-05
702,7030,9.45E-05
703,7040,9.60E-05
704,7050,9.91E-05
705,7060,0.000102218
706,7070,0.00010239
707,7080,0.000105306
708,7090,0.000106529
709,7100,0.000108573
710,7110,0.000111901
711,7120,0.000112953
712,7130,0.000112936
713,7140,0.00011327
714,7150,0.000113716
715,7160,0.000113808
716,7170,0.00011483
717,7180,0.000116423
718,7190,0.000117537
719,7200,0.000117716
720,7210,0.000119506
721,7220,0.000120475
722,7230,0.000121321
723,7240,0.000122044
724,7250,0.000126521
725,7260,0.000129254
726,7270,0.000130716
727,7280,0.000132617
728,7290,0.000133825
729,7300,0.000134908
730,7310,0.00013587
731,7320,0.000138611
732,7330,0.00013932
733,7340,0.000139244
734,7350,0.000139057
735,7360,0.000138869
736,7370,0.000140116
737,7380,0.000147183
738,7390,0.0001622
739,7400,0.000174903
740,7410,0.000184447
741,7420,0.000185415
742,7430,0.000192133
743,7440,0.000197497
744,7450,0.000202816
745,7460,0.000207336
746,7470,0.000211281
747,7480,0.000215085
748,7490,0.000219283
749,7500,0.0002227
750,7510,0.000224918
751,7520,0.000225527
752,7530,0.00022708
753,7540,0.000230621
754,7550,0.000232976
755,7560,0.000234575
756,7570,0.000235845
757,7580,0.000237207
758,7590,0.000238661
759,7600,0.000239477
760,7610,0.000239871
761,7620,0.00024026
762,7630,0.000240642
763,7640,0.00024102
764,7650,0.000241699
765,7660,0.000243495
766,7670,0.000245579
767,7680,0.000249473
768,7690,0.000251003
769,7700,0.00025262
770,7710,0.000256642
771,7720,0.000259121
772,7730,0.000261378
773,7740,0.000264015
774,7750,0.000267128
775,7760,0.000269318
776,7770,0.000271588
777,7780,0.000274532
778,7790,0.000277548
779,7800,0.000280637
780,7810,0.000283012
781,7820,0.000285268
782,7830,0.000287993
783,7840,0.00029089
784,7850,0.000293761
785,7860,0.000296317
786,7870,0.000298947
787,7880,0.000301264
788,7890,0.000304428
789,7900,0.000307277
790,7910,0.000310101
791,7920,0.000313665
792,7930,0.000307672
793,7940,0.000302098
794,7950,0.000299502
795,7960,0.000294181
796,7970,0.000290974
797,7980,0.000287317
798,7990,0.00028359
799,8000,0.000279047
800,8010,0.000274067
801,8020,0.000268284
802,8030,0.000262821
803,8040,0.000258229
804,8050,0.000252745
805,8060,0.000247669
806,8070,0.000244653
807,8080,0.000242941
808,8090,0.000241697
809,8100,0.000239364
810,8110,0.000237867
811,8120,0.000235379
812,8130,0.000233268
813,8140,0.000231896
814,8150,0.000232065
815,8160,0.00023025
816,8170,0.000227818
817,8180,0.000222447
818,8190,0.000216487
819,8200,0.000210034
820,8210,0.00020256
821,8220,0.000198422
822,8230,0.000197141
823,8240,0.000194368
824,8250,0.000191173
825,8260,0.000188262
826,8270,0.000184495
827,8280,0.000180754
828,8290,0.000175642
829,8300,0.000169522
830,8310,0.000163619
831,8320,0.00015767
832,8330,0.000152194
833,8340,0.000147015
834,8350,0.000142731
835,8360,0.000139935
836,8370,0.000137157
837,8380,0.00013491
838,8390,0.000133869
839,8400,0.000131985
840,8410,0.000130284
841,8420,0.000128424
842,8430,0.00012666
843,8440,0.000124908
844,8450,0.000123167
845,8460,0.000121354
846,8470,0.000119051
847,8480,0.000116681
848,8490,0.000114326
849,8500,0.000112153
850,8510,0.000109167
851,8520,0.000107439
852,8530,0.000106216
853,8540,0.000104262
854,8550,0.00010232
855,8560,0.000101128
856,8570,0.000100269
857,8580,9.90E-05
858,8590,9.78E-05
859,8600,9.63E-05
860,8610,9.49E-05
861,8620,9.32E-05
862,8630,9.14E-05
863,8640,8.92E-05
864,8650,8.71E-05
865,8660,8.51E-05
866,8670,8.36E-05
867,8680,8.25E-05
868,8690,8.17E-05
869,8700,8.15E-05
870,8710,8.17E-05
871,8720,8.25E-05
872,8730,8.34E-05
873,8740,8.53E-05
874,8750,8.72E-05
875,8760,8.72E-05
876,8770,8.90E-05
877,8780,8.97E-05
878,8790,9.09E-05
879,8800,9.30E-05
880,8810,9.36E-05
881,8820,9.35E-05
882,8830,9.36E-05
883,8840,9.38E-05
884,8850,9.38E-05
885,8860,9.44E-05
886,8870,9.53E-05
887,8880,9.60E-05
888,8890,9.60E-05
889,8900,9.71E-05
890,8910,9.77E-05
891,8920,9.81E-05
892,8930,9.85E-05
893,8940,0.000101416
894,8950,0.000103142
895,8960,0.000104036
896,8970,0.000105221
897,8980,0.000105951
898,8990,0.000106602
899,9000,0.000107173
900,9010,0.000108921
901,9020,0.00010933
902,9030,0.000109222
903,9040,0.00010904
904,9050,0.000108859
905,9060,0.000109628
906,9070,0.000114253
907,9080,0.000124152
908,9090,0.000132534
909,9100,0.000138833
910,9110,0.000139453
911,9120,0.000143891
912,9130,0.000147436
913,9140,0.000150957
914,9150,0.000153953
915,9160,0.000156571
916,9170,0.0001591
917,9180,0.000161895
918,9190,0.000164174
919,9200,0.000165659
920,9210,0.000166072
921,9220,0.000167116
922,9230,0.00016949
923,9240,0.000171074
924,9250,0.000172156
925,9260,0.000173021
926,9270,0.000173949
927,9280,0.000174939
928,9290,0.000175504
929,9300,0.000175788
930,9310,0.000176069
931,9320,0.000176346
932,9330,0.000176621
933,9340,0.000177099
934,9350,0.000178327
935,9360,0.000179751
936,9370,0.000182394
937,9380,0.000183451
938,9390,0.000184568
939,9400,0.000187305
940,9410,0.000189008
941,9420,0.000190564
942,9430,0.000192378
943,9440,0.000194516
944,9450,0.000196035
945,9460,0.00019761
946,9470,0.000199641
947,9480,0.000201725
948,9490,0.000203861
949,9500,0.000205518
950,9510,0.000207096
